ID;Family Name;Given Name;Name;Team;Region;ID2;Birthday;Popularity;Potential;Price;Type;Size;Weight;X;FLAT;MOUNTAIN;DOWNHILL;COBBLES;TT;PROLOGUE;SPRINT;ACCELERATION;ENDURANCE;RESISTANCE;RECUP;HILL;ATTACK;VAR1;VAR2;VAR3;VAR4;VAR5;VAR6;VAR7;VAR8;VAR9;VAR10;VAR11;VAR12;VAR13;VAR14;VAR15;VAR16;VAR17;VAR18;VAR19;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR26;VAR27;VAR28;VAR29;VAR30;VAR31;VAR32;VAR33;VAR34;VAR35;VAR36;VAR37;VAR38;VAR39;VAR40;VAR41
1;Rebellin;Davide;Rebellin D.;Work Service - Vitalcare - Dynatek;Veneto;drebellin;9/08/1971;0;3;FREE;0;171;63;ONWAAR;65;67;65;57;57;57;62;67;66;69;63;68;65;0;0;ONWAAR;WAAR;0;0;0;ONWAAR;;;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;Zeits;Andrey;Zeits A.;Astana Qazaqstan Team;KAZ;azeits;14/12/1986;17;3;FREE;0;189;73;ONWAAR;69;74;68;58;69;67;61;66;73;70;74;71;69;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;zeits_andrey;ONWAAR;0;ONWAAR;0;0;Giro d'Italia | La Vuelta | Tour de Pologne;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2008;1;2;9;8;0;0;0;0;4
3;Valverde;Alejandro;Valverde A.;Movistar Team;Region_de_Murcia;avalverde;25/04/1980;83;7;FREE;0;177;61;ONWAAR;71;77;75;73;69;71;71;73;78;74;75;80;66;0;0;ONWAAR;WAAR;0;0;35;ONWAAR;Valverde;valverde_alejandro;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2002;131;14;1;15;7;1;0;15;10
4;Madouas;Valentin;Madouas V.;Groupama - FDJ;Bretagne;vmadouas;12/07/1996;0;5;FREE;ardennaises;178;71;ONWAAR;74;73;69;75;67;68;69;73;76;75;75;76;76;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;madouas_valentin;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2018;2;2;1;0;0;2;0;4;1
5;Seigle;Romain;Seigle R.;-;Poitou-Charentes;rseigle;11/10/1994;0;4;FREE;0;169;63;ONWAAR;74;71;69;63;71;69;69;72;69;69;68;73;69;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;seigle_romain;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;Mollema;Bauke;Mollema B.;Trek - Segafredo;Groningue;bmollema;26/11/1986;63;5;FREE;0;183;64;ONWAAR;73;76;69;68;72;71;68;74;77;76;74;79;74;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;mollema_bauke;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;17;11;4;4;1;0;0;8;13
17;van Emden;Jos;van Emden J.;Team Jumbo - Visma;Hollande-Meridionale;jvanemden;18/02/1985;20;4;FREE;0;186;74;ONWAAR;73;63;70;68;75;76;64;66;70;67;67;67;71;0;0;ONWAAR;ONWAAR;0;0;1;ONWAAR;;van-emden_jos;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;13;2;10;1;6;5;6;2;0
20;Langeveld;Sebastian;Langeveld S.;EF Education - EasyPost;Hollande-Meridionale;slangeveld;17/01/1985;51;4;FREE;0;178;67;ONWAAR;75;58;67;75;74;75;65;67;77;68;67;72;72;0;0;ONWAAR;ONWAAR;0;0;2;ONWAAR;;langeveld_sebastian;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2006;7;6;0;3;12;14;13;1;3
86;Gallopin;Tony;Gallopin T.;Trek - Segafredo;Ile-de-France;tgallopin;24/05/1988;16;5;FREE;0;180;69;ONWAAR;74;72;74;72;70;70;70;71;73;67;65;74;75;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;gallopin_tony;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2010;12;9;3;2;6;5;3;6;5
99;Roux;Anthony;Roux A.;Groupama - FDJ;Lorraine;aroux;18/04/1987;26;4;FREE;0;188;73;ONWAAR;73;65;68;60;70;69;70;73;72;70;70;73;71;0;0;ONWAAR;ONWAAR;0;0;2;ONWAAR;;roux_anthony;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2008;16;5;3;6;4;0;1;9;9
