iter	Passed	Remaining
0	15	1535
1	28	1385
2	40	1321
3	52	1266
4	64	1233
5	83	1311
6	99	1319
7	113	1305
8	132	1342
9	154	1389
10	166	1347
11	187	1373
12	205	1376
13	218	1341
14	233	1324
15	250	1316
16	263	1286
17	276	1260
18	290	1239
19	302	1210
20	314	1182
21	332	1177
22	344	1153
23	356	1130
24	372	1117
25	384	1094
26	398	1077
27	410	1056
28	422	1034
29	436	1019
30	453	1009
31	465	989
32	476	968
33	489	949
34	500	929
35	517	919
36	535	911
37	553	903
38	566	885
39	576	865
40	592	853
41	614	848
42	632	837
43	648	825
44	662	809
45	677	795
46	697	786
47	710	769
48	724	754
49	735	735
50	746	716
51	755	697
52	766	679
53	787	671
54	803	657
55	819	643
56	834	629
57	853	618
58	869	604
59	882	588
60	894	571
61	912	559
62	930	546
63	942	530
64	971	522
65	983	506
66	996	490
67	1009	474
68	1020	458
69	1030	441
70	1045	427
71	1057	411
72	1085	401
73	1107	389
74	1128	376
75	1145	361
76	1158	346
77	1180	332
78	1202	319
79	1225	306
80	1242	291
81	1265	277
82	1282	262
83	1299	247
84	1310	231
85	1326	215
86	1347	201
87	1376	187
88	1397	172
89	1415	157
90	1435	142
91	1462	127
92	1477	111
93	1495	95
94	1517	79
95	1532	63
96	1550	47
97	1560	31
98	1570	15
99	1585	0
