Year,Race_ID,Stage,Category
2016.0,17.0,1.0,Flatt
2016.0,17.0,2.0,Smaakupert-MF
2016.0,17.0,3.0,Flatt
2016.0,17.0,4.0,Flatt
2016.0,17.0,5.0,Smaakupert
2016.0,17.0,6.0,Flatt
2016.0,17.0,7.0,Fjell
2016.0,17.0,8.0,Fjell
2016.0,17.0,9.0,Fjell-MF
2016.0,17.0,10.0,Smaakupert
2016.0,17.0,11.0,Flatt
2016.0,17.0,12.0,Fjell-MF
2016.0,17.0,13.0,Tempo
2016.0,17.0,14.0,Flatt
2016.0,17.0,15.0,Fjell
2016.0,17.0,16.0,Flatt
2016.0,17.0,17.0,Fjell-MF
2016.0,17.0,18.0,Bakketempo
2016.0,17.0,19.0,Fjell-MF
2016.0,17.0,20.0,Fjell
2016.0,17.0,21.0,Flatt
2016.0,13.0,1.0,Tempo
2016.0,13.0,2.0,Flatt
2016.0,13.0,3.0,Flatt
2016.0,13.0,4.0,Smaakupert
2016.0,13.0,5.0,Flatt
2016.0,13.0,6.0,Smaakupert-MF
2016.0,13.0,7.0,Flatt
2016.0,13.0,8.0,Smaakupert
2016.0,13.0,9.0,Tempo
2016.0,13.0,10.0,Smaakupert-MF
2016.0,13.0,11.0,Smaakupert
2016.0,13.0,12.0,Flatt
2016.0,13.0,13.0,Smaakupert
2016.0,13.0,14.0,Fjell
2016.0,13.0,15.0,Bakketempo
2016.0,13.0,16.0,Fjell
2016.0,13.0,17.0,Flatt
2016.0,13.0,18.0,Smaakupert
2016.0,13.0,19.0,Fjell-MF
2016.0,13.0,20.0,Fjell
2016.0,13.0,21.0,Flatt
2016.0,23.0,1.0,Lagtempo
2016.0,23.0,2.0,Flatt
2016.0,23.0,3.0,Smaakupert-MF
2016.0,23.0,4.0,Smaakupert-MF
2016.0,23.0,5.0,Flatt
2016.0,23.0,6.0,Smaakupert
2016.0,23.0,7.0,Smaakupert
2016.0,23.0,8.0,Fjell-MF
2016.0,23.0,9.0,Smaakupert-MF
2016.0,23.0,10.0,Fjell-MF
2016.0,23.0,11.0,Fjell-MF
2016.0,23.0,12.0,Smaakupert
2016.0,23.0,13.0,Smaakupert
2016.0,23.0,14.0,Fjell-MF
2016.0,23.0,15.0,Fjell-MF
2016.0,23.0,16.0,Flatt
2016.0,23.0,17.0,Fjell-MF
2016.0,23.0,18.0,Flatt
2016.0,23.0,19.0,Tempo
2016.0,23.0,20.0,Fjell-MF
2016.0,23.0,21.0,Flatt
2016.0,1.0,1.0,Flatt
2016.0,1.0,2.0,Smaakupert-MF
2016.0,1.0,3.0,Smaakupert
2016.0,1.0,4.0,Flatt
2016.0,1.0,5.0,Smaakupert-MF
2016.0,1.0,6.0,Flatt
2016.0,2.0,1.0,Tempo
2016.0,2.0,2.0,Flatt
2016.0,2.0,3.0,Flatt
2016.0,2.0,4.0,Smaakupert-MF
2016.0,2.0,5.0,Flatt
2016.0,2.0,6.0,Smaakupert
2016.0,2.0,7.0,Fjell-MF
2016.0,2.0,8.0,Smaakupert
2016.0,3.0,1.0,Lagtempo
2016.0,3.0,2.0,Smaakupert
2016.0,3.0,3.0,Flatt
2016.0,3.0,4.0,Smaakupert
2016.0,3.0,5.0,Fjell-MF
2016.0,3.0,6.0,Flatt
2016.0,3.0,7.0,Tempo
2016.0,12.0,1.0,Tempo
2016.0,12.0,2.0,Smaakupert
2016.0,12.0,3.0,Fjell-MF
2016.0,12.0,4.0,Tempo
2016.0,12.0,5.0,Fjell-MF
2016.0,12.0,6.0,Flatt
2016.0,15.0,1.0,Bakketempo
2016.0,15.0,2.0,Flatt
2016.0,15.0,3.0,Smaakupert-MF
2016.0,15.0,4.0,Smaakupert
2016.0,15.0,5.0,Flatt
2016.0,15.0,6.0,Smaakupert-MF
2016.0,15.0,7.0,Fjell-MF
2016.0,15.0,8.0,Fjell-MF
2016.0,16.0,1.0,Tempo
2016.0,16.0,2.0,Smaakupert
2016.0,16.0,3.0,Smaakupert
2016.0,16.0,4.0,Smaakupert
2016.0,16.0,5.0,Fjell-MF
2016.0,16.0,6.0,Fjell-MF
2016.0,16.0,7.0,Fjell-MF
2016.0,16.0,8.0,Tempo
2016.0,16.0,9.0,Fjell
2016.0,14.0,1.0,Smaakupert
2016.0,14.0,2.0,Smaakupert
2016.0,14.0,3.0,Fjell-MF
2016.0,14.0,4.0,Fjell-MF
2016.0,14.0,5.0,Smaakupert
2016.0,14.0,6.0,Flatt
2016.0,14.0,7.0,Smaakupert
2016.0,6.0,1.0,Smaakupert
2016.0,6.0,2.0,Smaakupert-MF
2016.0,6.0,3.0,Smaakupert
2016.0,6.0,4.0,Smaakupert
2016.0,6.0,5.0,Smaakupert-MF
2016.0,6.0,6.0,Tempo
2016.0,19.0,1.0,Flatt
2016.0,19.0,2.0,Flatt
2016.0,19.0,3.0,Smaakupert
2016.0,19.0,4.0,Smaakupert
2016.0,19.0,5.0,Smaakupert-MF
2016.0,19.0,6.0,Smaakupert-MF
2016.0,19.0,7.0,Tempo
2016.0,21.0,1.0,Flatt
2016.0,21.0,2.0,Tempo
2016.0,21.0,3.0,Flatt
2016.0,21.0,4.0,Flatt
2016.0,21.0,5.0,Lagtempo
2016.0,21.0,6.0,Smaakupert
2016.0,21.0,7.0,Brosten
2017.0,17.0,1.0,Tempo
2017.0,17.0,2.0,Flatt
2017.0,17.0,3.0,Smaakupert-MF
2017.0,17.0,4.0,Flatt
2017.0,17.0,5.0,Fjell-MF
2017.0,17.0,6.0,Flatt
2017.0,17.0,7.0,Flatt
2017.0,17.0,8.0,Smaakupert
2017.0,17.0,9.0,Fjell
2017.0,17.0,10.0,Flatt
2017.0,17.0,11.0,Flatt
2017.0,17.0,12.0,Fjell-MF
2017.0,17.0,13.0,Fjell
2017.0,17.0,14.0,Smaakupert-MF
2017.0,17.0,15.0,Smaakupert
2017.0,17.0,16.0,Flatt
2017.0,17.0,17.0,Fjell
2017.0,17.0,18.0,Fjell-MF
2017.0,17.0,19.0,Flatt
2017.0,17.0,20.0,Tempo
2017.0,17.0,21.0,Flatt
2017.0,13.0,1.0,Smaakupert
2017.0,13.0,2.0,Smaakupert
2017.0,13.0,3.0,Flatt
2017.0,13.0,4.0,Fjell-MF
2017.0,13.0,5.0,Flatt
2017.0,13.0,6.0,Smaakupert-MF
2017.0,13.0,7.0,Flatt
2017.0,13.0,8.0,Smaakupert-MF
2017.0,13.0,9.0,Fjell-MF
2017.0,13.0,10.0,Tempo
2017.0,13.0,11.0,Smaakupert
2017.0,13.0,12.0,Flatt
2017.0,13.0,13.0,Flatt
2017.0,13.0,14.0,Fjell-MF
2017.0,13.0,15.0,Smaakupert
2017.0,13.0,16.0,Fjell
2017.0,13.0,17.0,Smaakupert-MF
2017.0,13.0,18.0,Fjell-MF
2017.0,13.0,19.0,Fjell-MF
2017.0,13.0,20.0,Fjell
2017.0,13.0,21.0,Tempo
2017.0,23.0,1.0,Lagtempo
2017.0,23.0,2.0,Flatt
2017.0,23.0,3.0,Fjell
2017.0,23.0,4.0,Flatt
2017.0,23.0,5.0,Smaakupert-MF
2017.0,23.0,6.0,Smaakupert
2017.0,23.0,7.0,Flatt
2017.0,23.0,8.0,Smaakupert
2017.0,23.0,9.0,Smaakupert-MF
2017.0,23.0,10.0,Smaakupert
2017.0,23.0,11.0,Fjell-MF
2017.0,23.0,12.0,Smaakupert
2017.0,23.0,13.0,Flatt
2017.0,23.0,14.0,Fjell-MF
2017.0,23.0,15.0,Fjell-MF
2017.0,23.0,16.0,Tempo
2017.0,23.0,17.0,Smaakupert-MF
2017.0,23.0,18.0,Smaakupert-MF
2017.0,23.0,19.0,Smaakupert
2017.0,23.0,20.0,Fjell-MF
2017.0,23.0,21.0,Flatt
2017.0,1.0,1.0,Flatt
2017.0,1.0,2.0,Smaakupert-MF
2017.0,1.0,3.0,Smaakupert
2017.0,1.0,4.0,Flatt
2017.0,1.0,5.0,Smaakupert-MF
2017.0,1.0,6.0,Flatt
2017.0,2.0,1.0,Flatt
2017.0,2.0,2.0,Flatt
2017.0,2.0,3.0,Flatt
2017.0,2.0,4.0,Tempo
2017.0,2.0,5.0,Flatt
2017.0,2.0,6.0,Smaakupert-MF
2017.0,2.0,7.0,Fjell-MF
2017.0,2.0,8.0,Smaakupert
2017.0,3.0,1.0,Lagtempo
2017.0,3.0,2.0,Smaakupert-MF
2017.0,3.0,3.0,Smaakupert
2017.0,3.0,4.0,Fjell-MF
2017.0,3.0,5.0,Smaakupert
2017.0,3.0,6.0,Flatt
2017.0,3.0,7.0,Tempo
2017.0,12.0,1.0,Tempo
2017.0,12.0,2.0,Smaakupert-MF
2017.0,12.0,3.0,Smaakupert
2017.0,12.0,4.0,Smaakupert
2017.0,12.0,5.0,Fjell-MF
2017.0,12.0,6.0,Tempo
2017.0,15.0,1.0,Smaakupert
2017.0,15.0,2.0,Smaakupert
2017.0,15.0,3.0,Flatt
2017.0,15.0,4.0,Tempo
2017.0,15.0,5.0,Flatt
2017.0,15.0,6.0,Fjell
2017.0,15.0,7.0,Fjell-MF
2017.0,15.0,8.0,Fjell-MF
2017.0,16.0,1.0,Tempo
2017.0,16.0,2.0,Smaakupert
2017.0,16.0,3.0,Smaakupert
2017.0,16.0,4.0,Fjell-MF
2017.0,16.0,5.0,Fjell
